Time;ROI1;ROI2;ROI3;ROI4;ROI5;ROI6;ROI7;ROI8;ROI9;ROI10;ROI11;ROI12;ROI13;ROI14;ROI15;ROI16;ROI17;ROI18;ROI19;ROI20;ROI21;ROI22;ROI23;ROI24;ROI25;ROI26;ROI27;ROI28;ROI29;ROI30;ROI31;ROI32;ROI33;ROI34;ROI35;ROI36;ROI37;ROI38;ROI39;ROI40
0,99;91,2684;87,9408;80,2084;66,85561;73,9283;86,507;77,64637;76,1377;75,31891;73,7386;72,46434;69,8835;71,63467;100,33036;87,87451;146,8274;101,67717;222,29263;78,94001;71,17439;67,40897;67,56225;77,16255;77,50793;72,02072;69,32829;68,27966;77,00691;63,9423;97,5784;95,2344;105,4612;162,04083;92,00744;79,79365;186,34555;86,48199;67,77213;99,12704;97,2709
1,061;91,2474;87,3633;80,0739;66,68361;73,8827;86,3866;77,7356;75,6824;75,20536;73,8125;72,71733;69,59505;71,8227;100,15732;88,07183;146,6412;101,89799;222,46817;78,97043;70,92439;67,22789;67,33011;77,15274;77,52669;71,58555;69,59785;68,2373;77,1339;64,00797;97,3053;95,312;105,87069;162,11896;91,82549;79,80728;186,06398;86,51401;67,99042;99,04841;97,3821
1,132;90,799;88,4016;80,7579;66,65112;74,3203;87,5898;78,37733;77,2407;75,43124;75,0308;72,99194;69,25638;70,70695;100,71072;89,04457;148,5946;101,5024;222,45743;78,91825;70,53133;66,9081;66,88737;76,94872;78,09087;71,42242;69,94229;68,20116;77,22683;64,14809;97,205;95,884;105,86285;162,18779;91,93228;79,47068;186,60782;86,4924;67,94137;98,76095;97,1773
1,203;91,3814;89,077;81,5599;66,83313;74,3885;88,5017;78,59915;78,0766;75,06744;75,3972;72,66473;69,37558;70,52852;101,36161;89,72393;149,0737;101,19709;222,11136;78,90833;70,86206;66,81102;67,11295;76,92687;78,69419;71,19501;70,34778;68,74518;77,59959;64,66615;97,7248;95,4177;106,65831;161,38179;92,00558;78,99683;187,29402;85,98193;67,95762;98,65937;96,6195
1,2729984;91,8369;89,1223;81,1;67,00122;74,3764;88,6607;78,47967;78,6394;75,11274;75,2723;72,42175;69,51584;70,25353;101,68482;89,03808;148,6302;101,3494;221,85619;78,86333;70,73297;66,86944;67,11607;76,77999;78,11684;71,23486;70,20082;68,79552;77,78188;64,42205;97,7025;95,5327;106,46133;161,26817;92,208;79,23931;187,57899;86,15536;68,23512;98,66056;96,5888
1,344;92,7345;89,1087;80,9417;67,04446;74,3193;88,8374;78,20505;78,4232;75,22832;74,9632;72,11907;69,64336;70,68097;101,1575;88,51276;147,7439;101,78355;221,70612;78,65716;70,8423;67,15761;67,55538;77,14355;78,06942;71,17481;69,90151;68,60967;77,67486;64,20469;97,8418;95,7495;105,92542;161,4953;91,8147;79,51357;187,19096;86,12141;68,35268;98,16294;97,0624
1,415;92,7493;88,4152;80,759;66,87198;74,3198;88,3829;77,91559;78,0207;75,19582;74,7028;72,28815;69,97237;71,33089;100,88715;88,80744;147,08;101,86225;221,50237;78,99725;71,13556;67,3104;67,5844;77,03355;77,8462;71,56589;69,57014;68,37724;77,67742;64,16341;97,5418;95,7139;105,62069;161,50876;91,91479;79,68511;186,76532;86,52029;68,08766;98,63599;97,1203
1,486;92,6865;88,9174;80,6565;66,73516;74,1203;87,5625;77,85874;77,2203;74,88889;74,3614;71,80122;69,67678;71,52117;100,68089;88,23713;146,6947;101,91792;221,53857;78,95268;71,02963;66,93404;67,77535;76,95267;77,7766;72,02763;69,39087;68,19938;77,58781;63,90227;97,844;95,6481;105,35201;161,39783;91,92503;80,1313;186,79634;86,58763;68,41713;98,70212;97,4498
1,556;91,9785;88,4671;80,4157;66,63474;74,0105;87,0467;77,45692;76,559;74,94658;74,071;72,32494;69,79115;71,47601;100,25822;88,02856;146,6144;101,56485;222,11136;79,02514;71,31915;67,15254;67,65647;76,89047;77,73206;71,94952;69,06515;67,99157;77,24245;63,89804;97,3362;95,5005;105,3413;161,50673;91,88483;80,11595;186,36923;86,56282;67,87025;98,75663;97,2949
1,6269984;91,7046;88,4176;80,4877;66,55143;73,8732;86,9792;77,33475;76,3878;74,87691;73,538;72,03485;69,67001;71,68831;100,27393;87,91173;146,7537;101,61557;221,85843;78,91635;70,8389;67,11796;67,4702;76,97499;77,51604;71,77045;68,76712;67,92038;77,21941;63,81314;97,8014;95,3753;105,15021;161,38596;91,75237;79,93197;185,96068;86,35075;67,93672;98,62273;97,3156
