Time;ROI
102,6659984;31,0635
102,737;30,7936
102,8079984;30,6778
102,8779984;30,9003
102,949;31,1552
103,0199984;31,2613
103,091;31,0981
103,1619984;30,8429
103,2319984;30,6283
103,303;30,3919
103,3739984;32,4117
103,445;32,0994
103,515;31,7225
103,5859984;31,3008
103,657;30,9792
103,7279984;30,5837
103,7979984;30,2067
103,869;30,0282
103,9399984;29,8382
104,011;29,8205
104,081;30,1079
104,1519984;30,1848
104,223;30,388
104,2939984;30,769
104,3639984;32,9768
104,435;32,6626
104,5059984;32,4624
104,577;32,3937
104,647;32,0258
104,7179984;31,5846
104,789;31,2544
104,8599984;30,9626
104,9299984;30,6141
105,001;30,4286
105,0719984;30,3643
105,143;30,4018
105,213;30,6482
105,2839984;30,6327
105,355;30,5668
105,4259984;30,3585
105,4959984;32,2805
105,567;32,2796
105,6379984;32,1657
105,709;31,8665
105,779;31,7972
105,8499984;31,6942
105,921;31,2991
105,9919984;30,9469
106,0619984;30,7892
106,133;30,601
106,2039984;30,4723
106,275;30,2737
106,3459984;30,2546
106,4159984;30,1907
106,487;30,2082
106,5579984;30,3539
106,629;32,3655
106,699;32,1161
106,7699984;31,6726
106,841;31,3747
106,9119984;31,3023
106,9819984;31,3036
107,053;31,4304
107,1239984;31,1882
107,195;31,016
107,265;30,8348
107,3359984;30,7107
107,407;30,8679
107,4779984;30,9118
107,5479984;30,5828
107,619;30,4847
107,6899984;30,547
107,761;32,7148
107,831;32,347
107,9019984;31,9864
107,973;31,5669
108,0439984;31,0496
108,1139984;30,4557
108,185;29,9336
108,2559984;29,9529
108,327;30,0053
108,397;30,2242
108,4679984;30,2383
108,539;30,294
108,6099984;30,2081
108,6799984;30,2575
108,751;30,3675
108,8219984;30,6511
108,893;32,066
108,963;31,5895
109,0339984;31,4497
109,105;31,3886
109,1759984;31,1333
109,2459984;30,7679
109,317;30,4521
109,3879984;30,3288
109,459;30,3397
109,5299984;30,3435
109,5999984;30,2918
109,671;30,3034
109,7419984;30,3195
109,813;30,5883
109,883;32,7264
109,9539984;32,5565
110,025;32,1201
110,0959984;31,8707
110,1659984;31,4589
110,237;31,2059
110,3079984;30,6133
110,379;30,6866
110,449;30,1342
110,5199984;29,7888
110,591;29,5035
110,6619984;29,4563
110,7319984;29,5587
110,803;29,6516
