Time;ROI
24,057;37,6724
24,1269984;37,7255
24,198;37,4333
24,269;37,4104
24,3399984;39,5785
24,41;38,8492
24,481;38,3479
24,552;37,6677
24,623;37,4854
24,6929984;37,1132
24,764;36,8516
24,835;36,8766
24,9059984;37,2413
24,976;37,3573
25,047;37,4909
25,118;37,3371
25,189;37,2443
25,2589984;36,9561
25,33;36,6191
25,401;38,7691
25,4719984;39,3656
25,543;38,6437
25,613;38,1436
25,684;37,7785
25,755;37,4028
25,8259984;36,9171
25,896;36,7326
25,967;36,5752
26,0379984;36,8193
26,109;36,9954
26,179;37,027
26,25;36,8771
26,321;36,7621
26,3919984;36,9254
26,462;36,8173
26,533;39,866
26,6039984;39,1136
26,675;38,2636
26,745;37,7783
26,816;37,3929
26,887;37,2515
26,9579984;36,9681
27,028;36,6078
27,099;36,5
27,1699984;36,6072
27,241;36,8056
27,311;36,7507
27,382;36,6426
27,453;36,7047
27,5239984;36,6955
27,594;39,1183
27,665;38,3361
27,736;37,7507
27,807;37,4627
27,8769984;37,6215
27,948;37,6843
28,019;37,387
28,0899984;36,8154
28,16;36,4276
28,231;36,4425
28,302;36,4385
28,373;36,3812
28,4429984;36,1357
28,514;36,4102
28,585;36,5539
28,6559984;36,7787
28,727;39,2072
28,797;38,3884
28,868;37,9669
28,939;37,6432
29,0099984;37,0127
29,08;36,3466
29,151;35,9776
29,2219984;36,1209
29,293;36,1113
29,363;36,2792
29,434;36,3817
29,505;36,4723
29,5759984;36,3142
29,646;36,2307
29,717;36,3325
29,7879984;36,4887
29,859;37,7122
29,929;38,8342
30;38,0543
30,071;37,4934
30,1419984;37,15
30,212;36,3656
30,283;36,1144
30,3539984;35,8321
30,425;35,7906
30,495;35,9217
30,566;36,3039
30,637;36,4841
30,7079984;36,611
30,778;36,5403
30,849;36,5279
30,9199984;36,4748
30,991;39,4157
31,061;38,476
31,132;37,9416
31,203;37,547
31,2739984;37,2616
31,344;36,7712
31,415;36,518
31,486;36,354
31,557;36,2917
31,6269984;36,3583
31,698;36,5142
31,769;36,4285
31,8399984;36,5052
31,911;36,5597
31,981;36,4309
32,052;39,016
32,123;38,1783
32,1939984;37,8328
32,264;37,6101
32,335;37,1662
32,4059984;36,8596
32,477;36,4777
32,547;36,2094
32,618;36,2032
32,689;36,5385
32,7599984;36,6789
32,83;36,6741
32,901;36,4102
32,9719984;36,2661
33,043;36,3548
33,113;36,6442
33,184;39,167
33,255;38,0865
33,3259984;37,2647
33,396;36,7506
33,467;36,4812
33,5379984;36,3353
33,609;36,4004
33,679;36,3108
33,75;36,4094
33,821;36,2967
33,8919984;36,5395
33,962;36,618
34,033;36,4659
34,1039984;36,3287
34,175;36,257
34,245;36,2059
34,316;38,6642
34,387;37,9547
34,4579984;37,3567
34,528;37,0202
34,599;36,6967
34,6699984;36,5703
34,741;36,2992
34,811;36,3936
34,882;36,2697
34,953;36,3314
35,0239984;36,3617
35,095;36,2216
35,165;36,1495
35,236;36,2357
35,307;36,0446
35,3779984;35,9945
35,448;38,7771
35,519;38,2226
35,5899984;37,9014
35,661;37,5453
35,731;37,3293
35,802;37,0946
35,873;36,718
35,9439984;36,5428
36,014;36,229
36,085;36,094
36,1559984;36,2838
36,227;36,2676
36,297;36,2765
36,368;36,3557
36,439;36,579
36,5099984;36,6647
36,58;39,1412
36,651;38,3644
36,7219984;37,6803
36,793;37,4287
36,863;37,3144
36,934;36,7654
37,005;36,2452
37,0759984;36,0777
37,146;36,0483
37,217;36,3178
37,2879984;36,2127
37,359;36,2429
37,429;36,1522
37,5;36,2097
37,571;36,1814
37,6419984;36,6067
37,712;38,5659
37,783;37,8729
37,8539984;37,5821
37,925;37,4011
37,9959984;37,1495
38,066;36,868
38,137;36,29
38,2079984;35,9816
38,279;35,6833
38,349;35,8143
38,4199984;35,7912
38,491;35,7913
38,5619984;35,7642
38,632;35,9056
38,703;36,01
38,7739984;38,068
38,845;38,1154
38,915;37,6316
38,986;37,3297
39,057;37,0959
39,1279984;36,5864
39,198;36,1967
39,269;35,9301
39,3399984;35,8441
39,411;35,9514
39,481;35,8398
39,552;35,9106
39,623;35,7837
39,6939984;35,8494
39,764;35,8972
39,835;35,9562
39,9059984;36,5492
39,977;38,3652
40,047;37,7875
40,118;37,398
40,189;36,9607
40,2599984;36,5608
40,33;36,0466
40,401;35,523
40,4719984;35,1927
40,543;35,0116
40,613;35,0939
40,684;35,5299
40,755;35,7177
40,8259984;36,0319
40,896;37,5663
40,967;38,674
41,0379984;38,0938
41,109;37,6136
41,1799984;37,2651
41,25;36,7217
41,321;36,1288
41,3919984;35,7056
41,463;35,4662
41,533;35,1293
41,6039984;35,0082
41,675;34,9499
41,7459984;34,8455
41,816;34,8899
41,887;34,9981
41,9579984;35,2542
42,029;38,3625
42,099;38,1986
42,1699984;37,8205
42,241;37,693
42,3119984;37,2663
42,382;36,6174
42,453;36,1257
42,5239984;35,9153
42,595;35,6837
42,665;35,4292
42,736;35,1315
42,807;35,1511
42,8779984;34,9678
42,948;34,9075
43,019;35,0878
43,0899984;37,4695
43,161;37,9434
43,231;37,58
43,302;37,348
43,373;37,3458
43,4439984;36,9954
43,514;36,7555
43,585;36,4635
43,6559984;36,0167
43,727;35,8816
43,797;35,6579
43,868;35,5803
43,939;35,5186
44,0099984;35,5104
44,08;35,5762
44,151;35,6499
44,2219984;35,4385
44,293;37,9242
44,3639984;37,1661
44,434;36,625
44,505;36,7201
44,5759984;36,5888
44,647;36,1946
44,717;35,7212
44,7879984;35,2818
44,859;35,2787
44,9299984;35,2341
45;35,3783
45,071;35,2853
45,1419984;35,3148
45,213;35,3587
45,283;35,4024
45,3539984;35,2326
45,425;37,576
45,4959984;36,9213
45,566;36,316
45,637;36,1707
45,7079984;35,9962
45,779;35,6851
45,849;35,3248
45,9199984;35,3962
45,991;35,3745
46,0619984;35,4961
46,132;35,566
46,203;35,6032
46,2739984;35,3881
46,345;35,1118
46,415;34,8492
46,486;34,8157
46,557;37,0607
46,6279984;36,4012
46,698;35,9136
46,769;35,7487
46,8399984;35,5811
46,911;35,6321
46,981;35,6374
47,052;35,519
47,123;35,5887
47,1939984;35,4994
47,264;35,2087
47,335;35,1656
47,4059984;35,0799
47,477;34,9929
47,5479984;35,094
47,618;36,3033
47,689;36,7294
47,7599984;35,9963
47,831;35,6644
47,901;35,5873
47,9719984;35,7178
48,043;35,7278
48,1139984;35,6418
48,184;35,599
48,255;35,406
48,3259984;35,3845
48,397;35,2589
48,467;35,0942
48,5379984;34,7748
48,609;34,6659
48,6799984;34,6738
48,75;35,1845
48,821;37,2027
48,8919984;36,5792
48,963;36,0723
49,033;35,7695
49,1039984;35,5346
49,175;35,1413
49,2459984;34,6772
49,316;34,4153
49,387;34,2
49,4579984;34,2798
49,529;34,3089
49,599;34,7517
49,6699984;34,9181
49,741;35,1659
49,8119984;35,4048
49,882;37,2314
49,953;37,253
50,0239984;36,4403
50,095;35,9599
50,165;35,5749
50,236;35,3329
50,307;35,0841
50,3779984;34,7389
50,449;34,5449
50,519;34,7955
50,5899984;35,0962
50,661;35,0635
50,7319984;35,055
50,802;35,027
50,873;34,8442
50,9439984;35,4939
51,015;36,9954
51,085;36,6351
51,1559984;36,3287
51,227;36,0084
51,2979984;35,5114
51,368;35,0536
51,439;34,7908
51,5099984;34,7958
51,581;35,048
51,651;35,2204
51,7219984;35,1819
51,793;35,1219
51,8639984;34,8968
51,934;34,8778
52,005;34,7969
52,0759984;34,7211
52,147;36,7431
52,217;35,8933
52,2879984;35,3726
52,359;35,1794
52,4299984;35,1137
52,5;35,213
52,571;35,4096
52,6419984;35,535
52,713;35,2578
52,783;35,2723
52,8539984;35,3087
52,925;35,2818
52,9959984;35,2375
53,066;34,8945
53,137;34,385
53,2079984;36,6031
53,279;36,5869
53,349;35,9961
53,4199984;35,5141
53,491;35,2376
53,5619984;35,1649
53,633;35,0421
53,703;35,089
53,7739984;34,9855
53,845;34,9389
53,9159984;34,7786
53,986;34,8202
54,057;34,9167
54,1279984;34,7849
54,199;34,6932
54,269;34,564
54,3399984;34,4441
54,411;36,6912
54,4819984;35,8855
54,552;35,4793
54,623;35,1419
54,6939984;34,9973
54,765;34,7368
54,835;34,6025
54,9059984;34,4947
54,977;34,4618
55,0479984;34,5031
55,118;34,644
55,189;34,7677
55,2599984;34,6774
55,331;34,6715
55,401;34,1917
55,4719984;34,0101
55,543;36,3716
55,6139984;35,7094
55,684;35,4243
55,755;35,2949
55,8259984;34,8366
55,897;34,7553
55,967;34,3827
56,0379984;34,2197
56,109;34,1302
56,1799984;34,348
56,25;34,2505
56,321;34,4184
56,3919984;34,315
56,463;34,1878
56,533;34,0768
56,6039984;35,629
56,675;35,8922
56,7459984;35,2552
56,817;35,0836
56,887;34,8147
56,9579984;34,6443
57,029;34,4874
57,0999984;34,2938
57,1699984;34,2818
57,241;34,1047
57,3119984;34,0451
57,383;33,8588
57,453;34,0777
57,5239984;34,2778
57,595;34,4613
57,6659984;34,5426
57,736;34,4562
57,807;36,2729
57,8779984;35,6555
57,949;35,3604
58,019;34,8646
58,0899984;34,6871
58,161;34,4512
58,2319984;34,2897
58,302;34,3027
58,373;33,9571
58,4439984;33,9314
58,515;33,7731
58,585;33,7334
58,6559984;33,8164
58,727;33,6456
58,7979984;33,4977
58,868;33,6661
58,939;36,0242
59,0099984;35,5812
59,081;35,5053
59,151;35,404
59,2219984;35,343
59,293;34,9383
59,3639984;34,5051
59,434;34,3418
59,505;34,1026
59,5759984;33,8851
59,647;33,5582
59,717;33,5147
59,7879984;33,5664
59,859;33,6725
59,9299984;33,6767
60,001;35,7935
60,071;35,0675
60,1419984;34,6424
60,213;35,0042
60,2839984;34,8178
60,3539984;34,6609
60,425;34,5769
60,4959984;34,4285
60,567;34,4026
60,637;34,3372
60,7079984;34,0503
60,779;34,1179
60,8499984;33,7874
60,9199984;33,836
60,991;33,752
61,0619984;33,7337
61,133;35,8899
61,203;35,7942
61,2739984;35,558
61,345;35,2746
61,4159984;35,1265
61,486;34,3826
61,557;34,3059
61,6279984;33,7613
61,699;33,731
61,769;33,7787
61,8399984;33,7836
61,911;33,9796
61,9819984;33,8702
62,052;33,8943
62,123;33,8355
62,1939984;35,3501
62,265;36,1497
62,335;35,486
62,4059984;35,4176
62,477;35,096
62,5479984;34,7716
62,618;34,2109
62,689;33,7334
62,7599984;33,4266
62,831;33,4067
62,9019984;33,312
62,9719984;33,2975
63,043;33,2485
63,1139984;33,3851
63,185;33,661
63,255;33,8905
63,3259984;36,3739
63,397;36,3311
63,4679984;35,883
63,5379984;35,4952
63,609;34,9602
63,6799984;34,3631
63,751;33,9842
63,821;33,5599
63,8919984;33,4158
63,963;33,2812
64,0339984;33,0375
64,1039984;32,8944
64,175;33,0754
64,2459984;33,1581
64,317;33,4967
64,387;33,7359
64,4579984;35,9888
64,529;35,8851
64,5999984;35,3687
64,6699984;35,0506
64,741;34,6084
64,8119984;34,1305
64,883;33,5298
64,953;33,4303
65,0239984;33,3421
65,095;33,3115
65,1659984;33,3466
65,236;33,3849
65,307;33,1961
65,3779984;33,9422
65,449;35,4866
65,519;34,8546
65,5899984;34,3662
65,661;34,058
65,7319984;33,8672
65,802;33,3458
65,873;33,1358
65,9439984;33,0938
66,015;33,0711
66,0859984;33,1628
66,1559984;33,1657
66,227;33,0484
66,2979984;33,1154
66,369;33,2029
66,439;33,3493
66,5099984;33,3562
66,581;35,4513
66,6519984;35,3618
66,7219984;35,0172
66,793;34,5682
66,8639984;34,2848
66,935;34,0593
67,005;33,5255
67,0759984;33,2875
67,147;33,1128
67,2179984;33,1363
67,2879984;33,0855
67,359;32,8833
67,4299984;32,9115
67,501;33,036
67,571;33,2685
67,6419984;35,403
67,713;34,6384
67,7839984;34,3154
67,8539984;34,1813
67,925;33,9756
67,9959984;33,7751
68,067;33,6477
68,137;33,5048
68,2079984;33,3076
68,279;33,1069
68,3499984;32,9749
68,4199984;32,9127
68,491;33,0418
68,5619984;33,0117
68,633;33,0123
68,703;33,4343
68,7739984;35,5782
68,845;34,8718
68,9159984;34,3339
68,986;34,0894
69,057;33,7103
69,1279984;33,4818
69,199;33,182
69,2699984;33,0335
69,3399984;33,03
69,411;33,15
69,4819984;33,1544
69,553;33,1253
69,623;32,9618
69,6939984;32,7135
69,765;32,4901
69,8359984;33,5882
69,9059984;34,8129
69,977;34,2502
70,0479984;33,9939
70,119;33,8493
70,189;33,4505
70,2599984;33,1189
70,331;32,8358
70,4019984;32,6398
70,4719984;32,4909
70,543;32,5784
70,6139984;32,7067
70,685;33,0146
70,755;33,147
70,8259984;33,2327
70,897;33,2622
70,9679984;35,1157
71,0379984;34,7835
71,109;34,1203
71,1799984;33,9502
71,251;33,9769
71,321;33,5708
71,3919984;33,1152
71,463;32,8431
71,5339984;32,6675
71,6039984;32,555
71,675;32,4445
71,7459984;32,1369
71,817;32,0971
71,887;32,2813
71,9579984;32,357
72,029;34,498
72,0999984;33,9334
72,171;33,5533
72,241;33,4969
72,3119984;33,2406
72,383;32,9375
72,4539984;32,586
72,5239984;32,4906
72,595;32,4151
72,6659984;32,5537
72,737;32,7371
72,807;32,7709
72,8779984;32,7632
72,949;32,8396
73,0199984;32,6953
73,0899984;32,5378
73,161;34,4795
73,2319984;34,0728
73,303;33,6545
73,373;33,5273
73,4439984;33,1361
73,515;32,9262
73,5859984;32,7612
73,6559984;32,4562
73,727;32,4005
73,7979984;32,2714
73,869;32,0853
73,939;32,1996
74,0099984;32,1112
74,081;32,2524
74,1519984;32,3356
74,2219984;32,616
74,293;32,5004
74,3639984;34,6195
74,435;33,9628
74,505;33,6942
74,5759984;33,6102
74,647;33,5
74,7179984;33,2082
74,7879984;32,8008
74,859;32,5475
74,9299984;32,3983
75,001;32,2844
75,071;32,2249
75,1419984;32,1212
75,213;31,9189
75,2839984;31,7866
75,355;31,7972
75,425;33,4926
75,4959984;34,1056
75,567;33,4712
75,6379984;33,0766
75,7079984;32,8162
75,779;32,5935
75,8499984;32,3874
75,921;32,5545
75,991;32,787
76,0619984;32,7333
76,133;32,8424
76,2039984;32,69
76,2739984;32,5077
76,345;32,4961
76,4159984;32,2482
76,487;32,4172
76,557;34,0392
76,6279984;33,5444
76,699;33,2047
76,7699984;32,9136
76,8399984;32,6985
76,911;32,3537
76,9819984;31,9149
77,053;31,5828
77,123;31,6272
77,1939984;31,7068
77,265;31,934
77,3359984;32,3231
77,4059984;32,4811
77,477;32,4918
77,5479984;32,4796
77,619;32,3905
77,689;34,3506
77,7599984;33,9227
77,831;33,4641
77,9019984;33,3417
77,9719984;33,2495
78,043;32,838
78,1139984;32,4752
78,185;32,0841
78,255;31,7914
78,3259984;31,9635
78,397;32,0008
78,4679984;32,0825
78,539;31,8658
78,609;31,7712
78,6799984;31,722
78,751;33,8801
78,8219984;33,7107
78,8919984;33,1555
78,963;32,8697
79,0339984;32,6897
79,105;32,7121
79,175;32,9828
79,2459984;32,7627
79,317;32,3776
79,3879984;32,1939
79,4579984;32,063
79,529;32,0721
79,5999984;32,1971
79,671;32,3063
79,741;32,2506
79,8119984;32,1096
79,883;31,9622
79,9539984;33,9841
80,0239984;33,6778
80,095;33,3993
80,1659984;32,9319
80,237;32,5203
80,307;32,0965
80,3779984;31,8387
80,449;31,5816
80,5199984;31,4528
80,5899984;31,2479
80,661;31,2946
80,7319984;31,4642
80,803;31,5696
80,873;31,5943
80,9439984;31,7115
81,015;31,8671
81,0859984;34,1397
81,1559984;34,3918
81,227;34,0805
81,2979984;33,6887
81,369;33,3098
81,439;32,8494
81,5099984;32,3962
81,581;32,1708
81,6519984;32,0034
81,723;31,7612
81,793;31,5357
81,8639984;31,4262
81,935;31,4913
82,0059984;31,518
82,0759984;31,6641
82,147;31,7685
82,2179984;34,0774
82,289;33,7477
82,359;33,3865
82,4299984;33,3177
82,501;33,1967
82,5719984;32,8293
82,6419984;32,5171
82,713;32,2133
82,7839984;32,1507
82,855;31,9981
82,925;32,123
82,9959984;32,0139
83,067;31,891
83,1379984;31,9289
83,2079984;34,134
83,279;33,9555
83,3499984;33,406
83,421;33,0484
83,491;32,9178
83,5619984;32,3988
83,633;32,2622
83,7039984;32,0994
83,7739984;31,9599
83,845;31,9533
83,9159984;31,8846
83,987;31,8055
84,057;31,633
84,1279984;31,6918
84,199;31,652
84,2699984;31,8162
84,3399984;32,0355
84,411;34,4702
84,4819984;34,4666
84,553;34,0159
84,6239984;33,722
84,6939984;33,4855
84,765;33,0348
84,8359984;32,5647
84,907;32,2851
84,977;32,134
85,0479984;31,8545
85,119;31,6949
85,1899984;31,5558
85,2599984;31,565
85,331;31,6073
85,4019984;32,5329
85,473;33,4859
85,543;33,3012
85,6139984;33,2102
85,685;33,2317
85,7559984;33,0549
85,8259984;32,495
85,897;32,0503
85,9679984;31,9545
86,039;31,9127
86,109;32,0091
86,1799984;32,1369
86,251;32,0101
86,3219984;31,8001
86,3919984;31,6558
86,463;31,4094
86,5339984;31,4314
86,605;32,4953
86,675;33,9854
86,7459984;33,5812
86,817;33,4437
86,8879984;33,3984
86,9579984;33,298
87,029;32,9484
87,0999984;32,7202
87,171;32,5157
87,241;32,0718
87,3119984;32,0979
87,383;32,0348
87,4539984;31,9108
87,5239984;31,7489
87,595;31,6119
87,6659984;32,975
87,737;33,5965
87,8079984;33,1671
87,8779984;32,8105
87,949;32,5433
88,0199984;32,4615
88,091;31,9902
88,161;31,8113
88,2319984;31,7036
88,303;31,8311
88,3739984;32,0016
88,4439984;32,2446
88,515;32,1614
88,5859984;32,0801
88,657;32,0365
88,727;31,9906
88,7979984;34,3306
88,869;33,8482
88,9399984;33,5017
89,0099984;33,0502
89,081;32,7395
89,1519984;32,3222
89,223;32,0132
89,293;31,8928
89,3639984;31,6091
89,435;31,5302
89,5059984;31,4316
89,5759984;31,2758
89,647;31,3171
89,7179984;31,2944
89,789;31,2098
89,859;31,2558
89,9299984;31,3929
90,001;33,8182
90,0719984;33,7706
90,1419984;33,4604
90,213;33,2189
90,2839984;32,9158
90,355;32,4879
90,425;32,1028
90,4959984;31,8674
90,567;31,6735
90,6379984;31,4372
90,7079984;31,4743
90,779;31,3511
90,8499984;31,2732
90,921;31,1172
90,9919984;30,9393
91,0619984;30,8563
91,133;32,9372
91,2039984;32,6003
91,275;32,338
