Time;ROI1;ROI2;ROI3;ROI4;ROI5;ROI6;ROI7;ROI8;ROI9;ROI10;ROI11;ROI12;ROI13;ROI14;ROI15;ROI16;ROI17;ROI18;ROI19;ROI20;ROI21;ROI22;ROI23;ROI24;ROI25;ROI26;ROI27;ROI28;ROI29;ROI30;ROI31;ROI32;ROI33;ROI34;ROI35;ROI36;ROI37;ROI38;ROI39;ROI40
0,99;25,1791;25,6433;22,4851;27,6479;21,9985;28,9105;26,6308;23,539;46,297;30,6984;22,6163;121,5831;58,1722;34,17;46,836;48,5929;74,9019;62,15905;20,97381;99,7701;18,2621;20,9351;79,922;84,98;28,3374;66,011;13,51697;88,5845;44,3639;65,9731;79,3218;23,13258;43,83871;22,1267;20,53753;62,4002;24,67166;17,2476;28,53411;28,28729
1,061;25,5027;25,9882;22,7131;28,0393;22,2135;28,4223;27,5246;22,7914;48,4416;30,7723;22,5015;122,1177;57,6793;34,465;46,9563;48,5533;75,0096;62,7578;21,0564;94,6652;18,05534;21,11232;79,7048;83,0029;27,2067;72,5089;13,57219;88,6086;45,6732;66,745;78,8664;23,07537;43,58839;22,03609;20,21959;61,7653;24,86189;17,3762;28,43521;28,83805
1,132;32,9528;31,3762;33,8468;32,335;36,6411;51,572;44,5546;51,1094;59,9358;46,3598;34,5528;121,8682;56,5206;35,4943;46,1921;47,8684;74,5479;62,56454;20,41191;91,7602;18,45467;20,39033;78,5825;86,8008;26,2311;80,1959;13,46396;89,3966;46,2683;69,5298;79,2664;22,26502;43,20992;21,75665;20,45718;62,7499;24,86635;17,42409;27,8457;28,42741
1,203;31,4442;29,9063;31,9074;31,0313;33,0196;45,9108;39,8246;46,238;54,2106;43,5181;31,7709;122,2935;57,7894;34,9671;45,9399;47,4496;74,2662;61,6427;20,0076;94,2156;18,02125;20,37878;77,1227;89,112;25,2062;85,6204;13,93746;90,3666;47,7026;71,0986;77,5711;22,66445;42,49295;21,54009;19,98729;62,4896;24,57403;16,90479;27,80384;27,6862
1,2729984;29,0902;28,5576;29,3778;30,163;29,3684;41,1581;35,1931;39,9762;48,9076;38,672;29,919;121,5914;57,2123;35,0236;46,0826;48,4062;74,3707;62,02672;20,00317;93,1795;18,39674;22,06084;74,9433;88,8833;25,6982;82,7728;13,78221;93,5156;47,0443;73,0472;78,2944;22,55238;42,82011;21,34958;20,05255;62,9675;24,42243;17,24557;27,41093;27,57385
1,344;28,1943;28,2557;27,1088;28,9949;26,9855;37,1058;32,3613;36,0494;43,9618;34,7087;27,3937;121,5309;57,6544;35,0037;46,8503;48,3247;74,3408;62,53059;21,04584;96,8086;18,97171;22,84743;73,6876;85,1644;26,1716;82,0079;14,2923;95,7422;46,5446;74,3323;77,9148;22,64681;43,06413;21,4947;20,37909;62,5968;24,16749;17,37649;27,76616;28,16447
1,415;27,6153;26,9276;25,0269;27,7769;25,599;34,971;28,7044;33,2248;41,8621;30,7847;25,8167;122,6312;57,7109;34,5398;46,8122;49,004;74,695;61,99701;20,90769;100,4292;18,75803;23,14509;74,0945;82,2375;27,8438;75,6494;13,56554;95,1879;46,496;74,7135;79,0624;23,01894;43,13147;21,74995;20,50113;62,5426;24,28753;17,67025;28,2885;28,11452
1,486;27,3127;26,3215;23,7749;27,2609;23,3053;31,5045;26,6828;29,3022;42,1942;28,3854;23,3759;121,9167;57,3619;33,9421;46,6067;49,3069;74,8354;62,43845;20,78454;102,0521;18,58375;22,0025;75,16;85,0301;28,3316;70,6715;13,89089;95,158;45,8094;75,6777;78,3403;23,12343;43,6475;22,02958;20,51065;62,7426;24,50131;17,24122;28,75842;28,29179
1,556;25,8715;26,1205;23,6366;26,0191;23,2867;30,3467;24,7768;26,6118;44,1469;26,9025;22,3779;122,0207;57,9215;33,6875;46,5941;48,8099;74,9402;61,96629;21,19624;100,471;18,27569;21,53042;74,2642;88,3211;27,2024;65,6938;13,81437;94,5115;45,398;75,1713;78,8621;23,08934;43,55259;22,23423;20,62065;61,4955;24,61175;17,6807;28,89783;28,18269
1,6269984;25,6292;25,4427;22,7669;26,926;22,4286;29,1466;24,1145;24,7922;45,9328;26,0436;21,8319;122,7199;58,0711;33,6766;46,0108;48,2269;74,3922;62,10762;21,33207;97,6877;18,01445;21,43744;74,2737;87,4861;26,1142;61,863;13,57108;92,8;45,3667;75,155;79,3011;23,49739;44,13553;22,51591;20,20926;62,1245;24,45879;17,7643;28,70807;28,05032
1,698;25,1264;25,433;23,1852;26,1762;22,0692;28,3084;24,0669;24,2056;45,7881;27,372;21,7783;121,869;58,0119;33,3077;46,5933;48,2608;74,4558;62,25193;21,14491;97,1972;17,96171;20,21903;75,8488;83,5204;26,3746;59,9774;13,49545;91,4711;45,2671;74,1408;78,8268;23,24151;43,68651;21,98977;20,3677;62,1543;24,51526;17,72279;28,48332;28,12606
